ProductID,ProductLineID,ProductName,ProductDescription,ProductNumber,Color,ProductModel,ProductCategoryID,CategoryName,ListPrice,StandardCost,Weight,WeightUom,ProductStatus,CreatedDate,SellStartDate,SellEndDate,IsoCurrencyCode,UpdatedDate,CreatedBy,UpdatedBy
3011,PL_30,Alpine Pro Racing Skis - 170cm,High-performance alpine racing skis designed for competitive skiing with advanced edge control and precision handling,SKI-ALP-3011,Black,Model-2024-Pro,301,Alpine Skis,1299.99,875.5,3.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3012,PL_30,Mountain Master All-Terrain Skis - 165cm,Versatile all-mountain skis perfect for groomed runs and light off-piste adventures with balanced performance,SKI-ALP-3012,Blue,Model-2024-Master,301,Alpine Skis,899.99,625.75,3.1,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3013,PL_30,Beginner's Choice Alpine Skis - 160cm,Entry-level alpine skis with forgiving flex and easy turn initiation perfect for learning and progression,SKI-ALP-3013,Red,Model-2024-Choice,301,Alpine Skis,449.99,325.25,2.9,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3021,PL_30,Nordic Classic XC Skis - 185cm,Traditional cross-country skis with classic profile for groomed track skiing and touring,SKI-XC-3021,Natural,Model-2024-Classic,302,Cross-Country Skis,349.99,245.5,1.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3022,PL_30,Backcountry Explorer XC Skis - 190cm,Robust cross-country skis designed for backcountry exploration and off-track adventures,SKI-XC-3022,Black,Model-2024-Explorer,302,Cross-Country Skis,549.99,395.75,2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3031,PL_30,Pro Flex Racing Ski Boots,Professional racing ski boots with precision fit and responsive flex for competitive performance,BOOT-PRO-3031,Black,Model-2024-ProFlex,303,Ski Boots,649.99,485,2.5,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3032,PL_30,Comfort Fit Recreational Boots,Recreational ski boots with comfort-focused design and easy entry for casual skiing,BOOT-REC-3032,Brown,Model-2024-Comfort,303,Ski Boots,399.99,285.25,2.3,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3033,PL_30,Women's Performance Ski Boots,Women-specific ski boots with anatomical design and performance-oriented features,BOOT-WOM-3033,Purple,Model-2024-Performance,303,Ski Boots,579.99,425.5,2.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3041,PL_30,Carbon Fiber Racing Poles - 120cm,Ultra-lightweight carbon fiber ski poles designed for racing with precision balance and durability,POLE-CAR-3041,Black,Model-2024-Carbon,304,Ski Poles,179.99,125.75,0.45,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3042,PL_30,Aluminum All-Mountain Poles - 115cm,Versatile aluminum ski poles suitable for all-mountain skiing with comfortable grips and reliable construction,POLE-ALU-3042,Silver,Model-2024-AllMtn,304,Ski Poles,99.99,65.5,0.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3051,PL_30,Insulated Ski Jacket - Men's,Premium insulated men's ski jacket with weather protection and thermal regulation for all-day comfort,APP-JAC-3051,Navy,Model-2024-Insulated,305,Ski Apparel,299.99,185.25,1.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3052,PL_30,Thermal Base Layer Set - Women's,Women's thermal base layer system with moisture-wicking technology and temperature regulation,APP-BASE-3052,Black,Model-2024-Thermal,305,Ski Apparel,149.99,85.75,0.5,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3053,PL_30,Waterproof Ski Pants,High-performance waterproof ski pants with breathable membrane and articulated design,APP-PANT-3053,Charcoal,Model-2024-Waterproof,305,Ski Apparel,249.99,135.5,0.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3061,PL_30,Professional Ski Helmet,Professional-grade ski helmet with advanced safety features and ventilation system,SAFE-HEL-3061,White,Model-2024-Pro,306,Safety Equipment,199.99,125,0.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3062,PL_30,Anti-Fog Ski Goggles,Anti-fog ski goggles with UV protection and wide field of vision for optimal visibility,SAFE-GOG-3062,Black,Model-2024-AntiFog,306,Safety Equipment,129.99,75.25,0.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3071,PL_30,Ski Boot Bag - Premium,Premium ski boot bag with ventilation system and durable construction for equipment transport,ACC-BAG-3071,Black,Model-2024-Premium,307,Ski Accessories,59.99,35.5,0.4,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3072,PL_30,Hand Warmers - 10 Pack,Disposable hand warmers providing up to 8 hours of warmth for cold weather activities,ACC-WARM-3072,White,Model-2024-10Pack,307,Ski Accessories,14.99,8.75,0.1,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3081,PL_30,All-Temp Ski Wax Kit,Complete ski wax kit with all-temperature formulations and application tools for optimal performance,MAINT-WAX-3081,Multi,Model-2024-AllTemp,308,Ski Maintenance,79.99,45.25,0.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3082,PL_30,Edge Tuning Tool Set,Professional edge tuning tool set with files and guides for maintaining sharp ski edges,MAINT-EDGE-3082,Silver,Model-2024-ProTune,308,Ski Maintenance,119.99,65.75,0.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3091,PL_30,Freestyle Snowboard - 155cm,Freestyle snowboard designed for park and pipe riding with twin tip shape and medium flex,SNOW-FREE-3091,Blue,Model-2024-Freestyle,309,Snowboards & Equipment,649.99,425.5,2.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3092,PL_30,All-Mountain Snowboard - 158cm,All-mountain snowboard with directional shape perfect for groomed runs and powder conditions,SNOW-ALL-3092,Black,Model-2024-AllMtn,309,Snowboards & Equipment,799.99,525.75,3,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3101,PL_30,Winter Boots - Insulated,Insulated winter boots with thermal lining and grip sole for cold weather activities,FOOT-WIN-3101,Brown,Model-2024-Insulated,310,Winter Footwear,159.99,95.25,1.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3102,PL_30,Winter Hiking Boots - Waterproof,Waterproof winter hiking boots with insulation and aggressive tread for outdoor adventures,FOOT-HIK-3102,Black,Model-2024-Waterproof,310,Winter Footwear,249.99,145.5,1.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3103,PL_30,Snowboard Bindings - Pro,High-performance snowboard bindings with responsive flex and tool-free adjustability,BIND-PRO-3103,Black,Model-2024-ProBind,309,Snowboards & Equipment,299.99,195.75,1.5,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3104,PL_30,Ski Tuning Bench - Portable,Portable ski tuning bench with edge guide and wax scraper for field maintenance,MAINT-BENCH-3104,Gray,Model-2024-Portable,308,Ski Maintenance,189.99,125.25,3.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
