ProductID,ProductLineID,ProductName,ProductDescription,ProductNumber,Color,ProductModel,ProductCategoryID,CategoryName,ListPrice,StandardCost,Weight,WeightUom,ProductStatus,CreatedDate,SellStartDate,SellEndDate,IsoCurrencyCode,UpdatedDate,CreatedBy,UpdatedBy
2011,PL_20,Coffee Maker,Programmable drip coffee maker with 12-cup capacity and automatic brew timer,CM-2011,Black,Model-2024-Brew12,201,Coffee Makers,189.99,127.25,2.7,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2012,PL_20,Espresso Machine,Automatic espresso machine with built-in milk frother and pressure gauge,EM-2012,Silver,Model-2024-AutoEsp,201,Coffee Makers,425.99,298.65,7.5,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2021,PL_20,Chef Knife,Professional 8-inch stainless steel chef's knife with ergonomic handle,CK-2013,Steel,Model-2024-Chef8,202,Cutlery,89.99,62.75,0.35,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2022,PL_20,Fork Set,Premium dinner fork set of 12 pieces in stainless steel with classic design,FS-2014,Steel,Model-2024-Dinner12,202,Cutlery,45.99,31.25,0.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2031,PL_20,Coffee Mug,Ceramic coffee mug set of 4 with 16oz capacity and comfortable handle design,CMG-2015,White,Model-2024-Mug16,203,Cups & Mugs,32.99,22.45,1.1,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2041,PL_20,Serving Platter,Large porcelain serving platter with elegant design perfect for entertaining,SP-2016,White,Model-2024-Elegant,204,Serving Dishes,67.99,48.25,1.3,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2051,PL_20,Ice Cream Bowl,Glass ice cream bowl set of 6 with classic design and perfect portion size,ICB-2017,Clear,Model-2024-Classic6,205,Ice Cream Dishes,24.99,16.75,1.4,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2061,PL_20,Mixing Bowl,Stainless steel mixing bowl set of 3 sizes with non-slip base and pour spout,MB-2018,Steel,Model-2024-Mix3,206,Mixing Bowls,39.99,28.25,1.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2071,PL_20,Baking Pan,Non-stick aluminum baking pan 9x13 inch with reinforced rim and easy release coating,BP-2019,Gray,Model-2024-NonStick,207,Bakeware,28.99,19.45,0.9,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2081,PL_20,Food Storage Set,BPA-free plastic food storage container set of 10 with airtight sealing lids,FSS-2020,Clear,Model-2024-Airtight10,208,Storage Containers,34.99,23.75,1.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2091,PL_20,Spatula,Heat-resistant silicone spatula with comfortable grip handle for cooking and baking,SPT-2021,Red,Model-2024-HeatRes,209,Cooking Utensils,12.99,8.25,0.15,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2101,PL_20,Measuring Cup Set,Stainless steel measuring cup set of 5 with clearly marked measurements,MCS-2022,Steel,Model-2024-Measure5,210,Measuring Tools,19.99,13.45,0.4,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2111,PL_20,High-Speed Blender,Professional-grade blender with variable speed control and tamper for smooth blending,BL-2023,Black,Model-2024-HighSpeed,211,Small Appliances,199.99,135.75,3.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2112,PL_20,4-Slice Toaster,Stainless steel 4-slice toaster with digital controls and bagel function,TST-2024,Steel,Model-2024-Digital4,211,Small Appliances,89.99,62.25,2.1,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
2121,PL_20,Bamboo Cutting Board Set,Eco-friendly bamboo cutting board set of 3 sizes with juice groove and hanging loop,CB-2025,Natural,Model-2024-Bamboo3,212,Cutting Boards,45.99,31.75,1.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
